date,open,high,low,close,volume
0,2010-01-04,114.25,114.6328125,114.0625,114.546875,295473
1,2010-01-05,114.609375,115.0078125,114.59375,114.9453125,393545
2,2010-01-06,114.8828125,114.9296875,114.640625,114.90625,473208
3,2010-01-07,114.8203125,114.9296875,114.578125,114.796875,357551
4,2010-01-08,114.734375,115.1953125,114.5546875,115.0078125,357551
5,2010-01-11,114.890625,115.125,114.828125,115.03125,357551
6,2010-01-12,115.015625,115.46875,115.015625,115.3984375,357551
7,2010-01-13,115.4140625,115.453125,115.078125,115.171875,365944
8,2010-01-14,115.125,115.5390625,115.09375,115.4296875,387831
9,2010-01-15,115.3984375,115.8203125,115.390625,115.734375,341211
10,2010-01-19,115.7421875,115.890625,115.53125,115.5703125,313927
11,2010-01-20,115.6171875,115.890625,115.5859375,115.7578125,310416
12,2010-01-21,115.7578125,116.140625,115.609375,116.046875,524985
13,2010-01-22,116.1328125,116.2421875,116.0234375,116.1875,442676
14,2010-01-25,116.1328125,116.2109375,116.015625,116.125,287005
15,2010-01-26,116.125,116.421875,116.0625,116.1640625,332500
16,2010-01-27,116.203125,116.46875,115.9609375,116.0390625,503777
17,2010-01-28,115.921875,116.3125,115.7578125,116.171875,541693
18,2010-01-29,116.2734375,116.6015625,115.8984375,116.4609375,499663
19,2010-02-01,116.5234375,116.53125,116.21875,116.3203125,316497
20,2010-02-02,116.3125,116.4375,116.203125,116.3984375,294302
21,2010-02-03,116.40625,116.40625,116.140625,116.1953125,415871
22,2010-02-04,116.1875,116.7734375,116.171875,116.6640625,615278
23,2010-02-05,116.671875,117.1796875,116.5625,117.078125,784075
24,2010-02-08,117.0,117.0546875,116.78125,116.8671875,321474
25,2010-02-09,117.0390625,117.046875,116.609375,116.6875,519487
26,2010-02-10,116.6640625,116.84375,116.328125,116.421875,526187
27,2010-02-11,116.4296875,116.5234375,116.203125,116.40625,458914
28,2010-02-12,116.4375,116.7109375,116.4140625,116.609375,421101
29,2010-02-16,116.578125,116.828125,116.4453125,116.7890625,322394
30,2010-02-17,116.765625,116.765625,116.2578125,116.3515625,431571
31,2010-02-18,116.3515625,116.5,115.8984375,116.109375,601111
32,2010-02-19,115.90625,116.1328125,115.7890625,115.9765625,622341
33,2010-02-22,115.984375,116.1171875,115.9375,116.046875,421823
34,2010-02-23,116.0390625,116.5859375,116.015625,116.5078125,861801
35,2010-02-24,116.5234375,116.6796875,116.390625,116.4765625,987756
